Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG000BN9WT5,LLTC,XNGS,97.948,0.1245599999999999,74613040.0,43.8,44.07,43.52,43.79,1720654.0,1.217704,1.0
20140805,BBG000BGYMH7,MLM,XNYS,92.9745,0.1127799999999999,78640100.0,125.94,128.36,125.86,126.6,855370.0,1.1237632,1.0
20140805,BBG000BBB3K1,RAI,XNYS,57.8213,0.15654,126668104.0,56.3,56.52,55.77,55.84,2378814.0,2.9867918,0.5
20140805,BBG000BC9938,VMW,XNYS,66.5551,0.25682,110413310.0,99.58,99.83,98.15,98.66,1892312.0,1.0,1.0
20140805,BBG000BQ8KV2,NUE,XNYS,99.3027,0.12773,74819560.0,49.91,50.57,49.7,49.97,1142974.0,1.2435807,1.0
20140805,BBG000BR37X2,PGR,XNYS,91.1569,0.12896,81518190.0,23.42,23.58,23.31,23.35,7201713.0,1.4563212,1.0
20140805,BBG000BDY3Y7,CYH,XNYS,96.6585,0.3339399999999999,77668370.0,47.75,48.91,47.61,48.14,2419394.0,1.0084403,1.0
20140805,BBG000BHKYH4,ECL,XNYS,88.8399,0.10327,84618860.0,109.18,109.44,107.88,108.19,621189.0,1.0870184,1.0
20140805,BBG000PLXQQ3,TRW,XNYS,98.917,0.1792399999999999,76418160.0,102.16,102.4,101.23,101.7,986579.0,1.0,1.0
20140805,BBG000BFRF55,CLF,XNYS,99.1477,0.41023,76306520.0,17.53,17.6,16.94,17.08,4177349.0,2.2558744,0.5
20140805,BBG002S5ZRF9,SSYS,XNGS,87.1833,0.39597,86864610.0,98.0,98.71,95.38,97.13,1207866.0,1.0,1.0
20140805,BBG000BP8Z50,MSI,XNYS,88.1803,0.16482,86180480.0,61.52,62.76,60.54,61.39,3384891.0,0.15569341,7.000007
20140805,BBG000R0L5J4,TDC,XNYS,99.1472,0.29935,76749630.0,43.38,43.82,43.16,43.36,1889767.0,1.0,1.0
20140805,BBG000BNC3Y9,LNC,XNYS,99.4833,0.13437,76563560.0,51.35,52.02,51.13,51.28,1627285.0,1.1008638,1.0
20140805,BBG000BNNYW1,MAT,XNGS,99.6895,0.15019,76500210.0,35.34,35.55,35.14,35.29,2357896.0,1.2878746,1.0
20140805,BBG000BBMSJ6,ALTR,XNGS,99.6172,0.14759,76795330.0,32.72,32.95,32.51,32.9,2475126.0,1.0729245,1.0
20140805,BBG000C6F3T8,IGT,XNYS,98.9462,0.27683,77490850.0,16.85,16.91,16.77,16.82,4074806.0,1.1334507,1.0
20140805,BBG000CXD6X9,MNST,XNGS,90.2867,0.28169,85108140.0,65.21,65.93,64.45,65.11,1497714.0,2.0,0.5
20140805,BBG000M1R011,NOW,XNYS,86.7427,0.30216,88819656.0,57.06,58.11,56.42,56.63,1166539.0,1.0,1.0
20140805,BBG000BTVJ25,SYY,XNYS,99.7038,0.17276,77833000.0,35.95,36.05,35.5,35.54,2240823.0,1.25736,1.0
20140805,BBG000BG09F5,GPOR,XNGS,98.4182,0.34616,78997650.0,52.94,53.54,51.7501,52.44,1967885.0,1.0,1.0
20140805,BBG000HW5GX3,CNQ,XNYS,97.2562,0.1823,79964616.0,42.36,42.37,41.605,41.99,2941127.0,2.1508121,0.5
20140805,BBG000BJDPC2,FDO,XNYS,84.0153,0.2066,92716670.0,75.37,79.93,75.198,77.25,9867474.0,1.1146616,1.0
20140805,BBG000BHGCD1,ATHN,XNGS,97.8625,0.36364,79681090.0,123.48,125.74,122.77,124.81,371512.0,1.0,1.0
20140805,BBG000C4ZZ10,SIG,XNYS,99.7674,0.2281699999999999,78350216.0,103.27,104.26,102.56,102.68,398688.0,0.5172281,2.0
20140805,BBG000TJM7F0,DPS,XNYS,99.5298,0.14434,78547090.0,59.21,59.4,58.87,59.03,1297091.0,1.1519694,1.0
20140805,BBG000FDBX90,CNP,XNYS,99.341,0.10388,78748056.0,24.3,24.36,23.87,23.94,4632279.0,1.3570893,1.0
20140805,BBG000BB5373,WU,XNYS,99.7161,0.18645,78601470.0,16.9,17.07,16.81,16.91,5104240.0,1.1158723,1.0
20140805,BBG000BCZYD3,BDX,XNYS,99.0126,0.0888299999999999,79289520.0,116.75,117.37,115.59,115.83,845241.0,1.1400146,1.0
20140805,BBG000BTCH57,CHRW,XNGS,98.5293,0.16987,79868720.0,68.46,68.55,67.06,67.32,3051666.0,1.1379558,1.0
20140805,BBG000BSXQV7,SHW,XNYS,84.8202,0.13484,92850110.0,207.28,208.45,204.63,205.02,777156.0,1.1259265,1.0
20140805,BBG000FLZN98,MHK,XNYS,83.7444,0.15698,94079620.0,128.46,131.75,128.0,129.54,1325403.0,1.0,1.0
20140805,BBG000BGRKT6,LLL,XNYS,89.157,0.18021,88954790.0,103.84,105.42,103.6,104.83,1712207.0,1.1984122,1.0
20140805,BBG000BLW530,EMN,XNYS,91.5438,0.17489,86861490.0,78.77,79.83,78.4505,78.93,1764027.0,2.3910513,0.5
20140805,BBG000C060M4,AMG,XNYS,99.1871,0.1684099999999999,80267530.0,195.3,196.045,192.52,193.53,489583.0,1.0,1.0
20140805,BBG000D1QCF1,FTI,XNYS,98.8111,0.17537,80792920.0,61.66,61.87,60.27,60.78,1222884.0,2.1068068,0.5
20140805,BBG000BGYWY6,ORLY,XNGS,97.1218,0.14919,82264310.0,149.59,151.3,149.59,150.01,993795.0,1.0,1.0
20140805,BBG000BKR1D6,GWW,XNYS,88.0529,0.12445,90861750.0,233.45,236.16,232.798,234.87,445950.0,1.1197758,1.0
20140805,BBG000F7RCJ1,AAP,XNYS,99.314,0.22865,80776060.0,123.58,125.55,122.85,124.41,775417.0,1.02828,1.0
20140805,BBG000BQVWZ6,RFMD,XNGS,97.7181,0.41174,82412870.0,11.4,11.51,11.11,11.22,14510036.0,1.0,1.0
20140805,BBG000BKNX95,GT,XNGS,98.8498,0.24858,81761670.0,24.83,24.87,24.06,24.23,5070700.0,1.0086006,1.0
20140805,BBG0039320N9,ZTS,XNYS,99.9858,0.20087,81660640.0,32.57,32.88,31.98,32.21,5935961.0,1.0109988,1.0
20140805,BBG000DN7P92,SYK,XNYS,77.2637,0.12871,106055200.0,80.27,80.75,79.75,79.99,1350081.0,1.0843759,1.0
